pd_id,party_clf_pdid
pd-101612951684961-3,DEM
pd-101613675044207-1,DEM
pd-101617878136916-1,REP
pd-101619205002154-1,REP
pd-101621711645478-1,DEM
pd-101622528089669-1,DEM
pd-101623908045515-2,REP
pd-101624531374275-2,DEM
pd-101625468144323-1,DEM
pd-101629424984874-1,DEM
pd-101630654662578-1,DEM
pd-101631154786164-1,REP
pd-101633824549376-3,DEM
pd-101634314807431-1,DEM
pd-101641544932071-1,DEM
pd-101642140171339-1,REP
pd-101643034789418-1,DEM
pd-101644258125442-2,DEM
pd-101645450349590-1,REP
pd-101650961456363-1,DEM
pd-101654774973359-1,REP
pd-101655554682189-1,DEM
pd-101658261486130-1,REP
pd-101658691535018-1,DEM
pd-101662771706915-2,REP
pd-101665134815641-1,DEM
pd-101665421625320-1,REP
pd-101666041597774-1,DEM
pd-101672911717516-1,DEM
pd-101674628306904-2,REP
pd-101678201551432-1,DEM
pd-101682706561261-1,REP
pd-101686551690283-1,REP
pd-101689088152921-1,REP
pd-101691088406801-1,DEM
pd-101692531643025-1,REP
pd-101699974808006-1,REP
pd-101704221731687-1,DEM
pd-101705764879487-1,DEM
pd-101706788294620-1,REP
pd-101710201564786-1,DEM
pd-101710201564786-2,DEM
pd-101711647861192-1,DEM
pd-101715345001587-1,DEM
pd-101719608083889-1,DEM
pd-101720315007350-1,DEM
pd-101724361319410-1,REP
pd-101726437961444-1,REP
pd-101728048182216-1,DEM
pd-101735344935258-1,DEM
pd-101739017925769-1,REP
pd-101740928330609-1,REP
pd-101745298304745-1,REP
pd-101746494656959-1,OTHER
pd-101752041333895-1,DEM
pd-1017551808288816-2,DEM
pd-101757384635840-1,DEM
pd-101783761311975-1,DEM
pd-101803271338252-1,REP
pd-101806351358135-1,DEM
pd-101813324579753-1,DEM
pd-101813324579753-2,DEM
pd-101819051503206-1,DEM
pd-101819551460045-1,DEM
pd-101822678057029-2,REP
pd-101827801591642-1,DEM
pd-101836378085260-1,DEM
pd-101836378085260-2,DEM
pd-101841081684400-2,DEM
pd-101847974783364-1,REP
pd-101847974783364-2,REP
pd-101848364773502-1,DEM
pd-101851174507198-1,DEM
pd-101853717940986-1,REP
pd-101855028172274-1,DEM
pd-101859698263382-1,DEM
pd-101860364658541-1,DEM
pd-101861914528755-1,REP
pd-101862904754432-1,DEM
pd-101866424689528-1,DEM
pd-101869288131464-1,REP
pd-101874631368460-1,REP
pd-101875519874044-1,DEM
pd-101875968340498-1,DEM
pd-101875968340498-2,REP
pd-101876571552755-1,REP
pd-101877854880441-1,REP
pd-101880331396984-1,DEM
pd-101884174946127-1,OTHER
pd-101887531222440-1,DEM
pd-101889268284303-1,DEM
pd-101894128312659-1,REP
pd-101894128312659-2,REP
pd-101894821214937-2,REP
pd-101898074758141-1,DEM
pd-101898127964590-2,DEM
pd-101898127964590-3,DEM
pd-101901251611845-1,REP
pd-101902061635454-1,DEM
pd-101904234521335-2,DEM
pd-101905411228915-1,DEM
pd-101905411228915-2,DEM
pd-101909394972914-1,REP
pd-101910048067945-2,REP
pd-101912618134879-1,REP
pd-101916084953443-1,DEM
pd-101921291709404-1,DEM
pd-101921451445630-1,DEM
pd-101922614722612-1,DEM
pd-101922614722612-2,DEM
pd-101927028250230-1,REP
pd-101931588263280-1,DEM
pd-101933824564818-1,DEM
pd-101934825008467-1,DEM
pd-101937121427149-1,DEM
pd-101940074774164-1,DEM
pd-101947014936143-1,DEM
pd-101948154894667-1,DEM
pd-101949754750112-1,REP
pd-101951798163778-1,DEM
pd-101951798163778-2,DEM
pd-101958878206138-1,REP
pd-101959451330991-1,DEM
pd-101963314779924-1,DEM
pd-101964261605222-1,DEM
pd-101968251630169-1,DEM
pd-101968381266941-1,DEM
pd-101968481418283-1,DEM
pd-101970078032850-1,REP
pd-101973421559209-1,DEM
pd-101974914743979-1,DEM
pd-101976061457528-1,REP
pd-101984508321127-1,DEM
pd-101984508321127-2,DEM
pd-101998138305201-1,DEM
pd-101998138305201-2,REP
pd-102002714827879-1,REP
pd-102004954642771-1,DEM
pd-102010211314386-1,REP
pd-102013767905609-1,DEM
pd-102023301606141-1,REP
pd-102026767904506-2,REP
pd-102026834835226-2,DEM
pd-102027764795677-1,REP
pd-102059447954720-1,DEM
pd-102060947813668-3,DEM
pd-102064734924133-1,DEM
pd-102068681677490-1,DEM
pd-102070364791781-1,DEM
pd-102080361507499-1,REP
pd-102081678052471-1,DEM
pd-102083117988977-1,DEM
pd-102083604822010-2,DEM
pd-102086344834712-1,REP
pd-102086344834712-2,DEM
pd-102093457858043-1,REP
pd-102095634680606-1,DEM
pd-102096187807457-2,REP
pd-102096898291002-1,DEM
pd-102103234869998-1,DEM
pd-102103234869998-2,DEM
pd-102104788202-1,DEM
pd-102106051435189-2,REP
pd-102110384688071-1,DEM
pd-102112121615949-1,DEM
pd-102112534936356-1,DEM
pd-102118584746957-1,DEM
pd-102125428338034-1,DEM
pd-102129668265348-1,DEM
pd-102131354841579-1,DEM
pd-102131864854032-1,DEM
pd-102135884883828-1,DEM
pd-102139464557262-1,DEM
pd-102141254505251-1,REP
pd-102142101657930-1,DEM
pd-102157598079355-1,REP
pd-102163408354510-1,DEM
pd-102163974613001-1,DEM
pd-102167071626376-1,DEM
pd-102171054629844-1,DEM
pd-102172141548735-1,DEM
pd-102172631571087-1,REP
pd-102173001195418-3,REP
pd-102174064945334-1,DEM
pd-102174794744545-1,REP
pd-102180301437619-1,REP
pd-10218097530-1,DEM
pd-102181684901722-1,DEM
pd-102183258209726-1,DEM
pd-102203241508782-1,DEM
pd-102204884560434-2,DEM
pd-102206620458674-5,DEM
pd-102206851610323-1,REP
pd-102207351394382-1,DEM
pd-102207644735897-3,DEM
pd-102212541306207-1,DEM
pd-102213261325325-1,DEM
pd-102214024837646-1,DEM
pd-102215221627903-1,REP
pd-102223267818308-1,DEM
pd-102224157947047-1,DEM
pd-102224561399734-1,DEM
pd-102226184949334-1,DEM
pd-102226784898262-1,REP
pd-102235344776454-1,DEM
pd-102235344776454-2,DEM
pd-102244648206922-1,DEM
pd-102247451379798-1,REP
pd-102250184559688-1,DEM
pd-102250854673066-2,REP
pd-102252294720680-1,DEM
pd-102263688280674-1,DEM
pd-102267811475630-1,DEM
pd-102268731648491-1,REP
pd-102269544863819-1,REP
pd-102270741478180-1,DEM
pd-102278041370966-1,REP
pd-102288374825102-2,REP
pd-102289114883045-1,REP
pd-102291391641646-1,DEM
pd-102293614963922-1,REP
pd-102294928105204-2,REP
pd-102295964758996-1,REP
pd-102297714638930-1,REP
pd-102299764761082-1,DEM
